D1,S1,Ar1,R1,As1,%1,D2,S2,Ar2,R2,As2,%2,SMix,ArMix,RMix,AsMix,CII
0.8741,18.13,27.8,32.72,10.23,0.8,0.8124,74.9,14.1,9.2,1.8,0.2,31.0,34.7,25.3,9.0,0.67
0.8741,18.13,27.8,32.72,10.23,0.5,0.8124,74.9,14.1,9.2,1.8,0.5,47.6,26.45,19.05,6.9,1.2
0.8741,18.13,27.8,32.72,10.23,0.15,0.8124,74.9,14.1,9.2,1.8,0.85,66.4,23.93,7.6,2.07,2.17
0.8741,18.13,27.8,32.72,10.23,0.9,0.8793,19.95,24.15,34.78,21.13,0.1,18.99,31.35,38.1,11.56,0.44
0.8741,18.13,27.8,32.72,10.23,0.6,0.8793,19.95,24.15,34.78,21.13,0.4,18.77,31.02,37.91,12.3,0.45
0.8741,18.13,27.8,32.72,10.23,0.7,0.8793,19.95,24.15,34.78,21.13,0.3,18.95,31.45,37.69,11.91,0.45
0.8741,18.13,27.8,32.72,10.23,0.2,0.8793,19.95,24.15,34.78,21.13,0.8,17.9,30.97,36.06,15.07,0.49
0.8741,18.13,27.8,32.72,10.23,0.5,0.9478,20.3,37.85,36.5,5.35,0.5,20.1,36.53,34.43,8.95,0.41
0.8741,18.13,27.8,32.72,10.23,0.9,0.9478,20.3,37.85,36.5,5.35,0.1,20.3,34.5,35.15,10.05,0.44
0.8741,18.13,27.8,32.72,10.23,0.9,0.8098,70.8,24.2,4.8,0.2,0.1,26.27,30.07,34.17,9.5,0.56
0.8741,18.13,27.8,32.72,10.23,0.5,0.8098,70.8,24.2,4.8,0.2,0.5,44.9,27.57,20.3,7.23,1.09
0.8741,18.13,27.8,32.72,10.23,0.05,0.8098,70.8,24.2,4.8,0.2,0.95,68.0,24.13,7.1,0.77,2.2
0.8741,18.13,27.8,32.72,10.23,0.9,0.7982,72.25,18.2,8.15,1.4,0.1,26.97,30.57,32.67,9.8,0.58
0.8741,18.13,27.8,32.72,10.23,0.65,0.7982,72.25,18.2,8.15,1.4,0.35,34.73,29.3,26.4,9.57,0.8
0.8741,18.13,27.8,32.72,10.23,0.25,0.7982,72.25,18.2,8.15,1.4,0.75,54.73,21.47,16.83,6.97,1.61
0.8741,18.13,27.8,32.72,10.23,0.8,0.852,56.9,28.05,12.85,1.2,0.2,27.27,29.17,33.3,10.27,0.6
0.8741,18.13,27.8,32.72,10.23,0.3,0.852,56.9,28.05,12.85,1.2,0.7,41.03,31.2,21.47,6.3,0.9
0.8741,18.13,27.8,32.72,10.23,0.9,0.7952,71.6,7.5,20.3,0.6,0.1,26.4,34.77,28.57,10.27,0.58
0.8741,18.13,27.8,32.72,10.23,0.65,0.7952,71.6,7.5,20.3,0.6,0.35,37.23,28.0,27.07,7.7,0.82
0.8741,18.13,27.8,32.72,10.23,0.25,0.7952,71.6,7.5,20.3,0.6,0.75,61.27,14.93,20.67,3.13,1.81
0.8307,57.94,37.83,3.39,0.84,0.3,0.8624,25.58,63.97,2.84,7.6,0.7,30.27,22.33,39.56,7.85,0.62
0.8307,57.94,37.83,3.39,0.84,0.5,0.8624,25.58,63.97,2.84,7.6,0.5,33.02,33.81,30.48,2.68,0.56
0.8307,57.94,37.83,3.39,0.84,0.7,0.8624,25.58,63.97,2.84,7.6,0.3,40.69,21.49,31.94,5.88,0.87
